Book,Line,Locus,Hero,Epithet,Speaker,Addressee,Greek
4,285,4.285,ΑΙΑΣ,ἡγήτορε,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),"Αἴαντ’ Ἀργείων ἡγήτορε χαλκοχιτώνων,"
4,285,4.285,ΑΙΑΣ,χαλκοχιτώνων,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),"Αἴαντ’ Ἀργείων ἡγήτορε χαλκοχιτώνων,"
4,285,4.285,ΑΙΑΣ,Αἴαντ’ Ἀργείων ἡγήτορε χαλκοχιτώνων,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),"Αἴαντ’ Ἀργείων ἡγήτορε χαλκοχιτώνων,"
4,285,4.285,ΑΙΑΣ,Ἀργείων ἡγήτορε χαλκοχιτώνων,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),"Αἴαντ’ Ἀργείων ἡγήτορε χαλκοχιτώνων,"
4,285,4.285,ΑΙΑΣ,ἡγήτορε χαλκοχιτώνων,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),"Αἴαντ’ Ἀργείων ἡγήτορε χαλκοχιτώνων,"
4,290,4.290,ΠΡΙΑΜΟΣ,τώ,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),τώ κε τάχ’ ἠμύσειε πόλις Πριάμοιο ἄνακτος
4,290,4.290,ΠΡΙΑΜΟΣ,κε,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),τώ κε τάχ’ ἠμύσειε πόλις Πριάμοιο ἄνακτος
4,290,4.290,ΠΡΙΑΜΟΣ,τάχ’,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),τώ κε τάχ’ ἠμύσειε πόλις Πριάμοιο ἄνακτος
4,290,4.290,ΠΡΙΑΜΟΣ,ἠμύσειε,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),τώ κε τάχ’ ἠμύσειε πόλις Πριάμοιο ἄνακτος
4,290,4.290,ΠΡΙΑΜΟΣ,πόλις,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),τώ κε τάχ’ ἠμύσειε πόλις Πριάμοιο ἄνακτος
4,290,4.290,ΠΡΙΑΜΟΣ,ἄνακτος,Agamemnon,Aias (son of Oileus); Aias (son of Telamon),τώ κε τάχ’ ἠμύσειε πόλις Πριάμοιο ἄνακτος
4,311,4.311,ΑΓΑΜΕΜΝΩΝ,καὶ,,,"καὶ τὸν μὲν γήθησεν ἰδὼν κρείων Ἀγαμέμνων,"
4,311,4.311,ΑΓΑΜΕΜΝΩΝ,τὸν,,,"καὶ τὸν μὲν γήθησεν ἰδὼν κρείων Ἀγαμέμνων,"
4,311,4.311,ΑΓΑΜΕΜΝΩΝ,μὲν,,,"καὶ τὸν μὲν γήθησεν ἰδὼν κρείων Ἀγαμέμνων,"
4,311,4.311,ΑΓΑΜΕΜΝΩΝ,γήθησεν,,,"καὶ τὸν μὲν γήθησεν ἰδὼν κρείων Ἀγαμέμνων,"
